MFCC Mean,Spectral Centroid,Tempo (BPM)
-51.513317,2668.301,172.26562
-63.100067,3642.0525,184.57031
-21.94639,2438.5344,103.359375
-55.757183,2905.954,198.76804
-30.18493,2317.9263,117.453835
-32.499805,2404.2612,135.99918
-59.90558,3228.007,107.666016
-40.195107,2206.8718,71.77734
-68.421486,3023.3977,172.26562
-73.27959,4042.748,83.35433
-54.751026,2981.9062,112.347145
-29.437225,1985.6251,172.26562
-46.573467,2528.8318,135.99918
-31.80314,2005.9431,107.666016
-50.94045,2305.853,86.13281
-38.515472,2098.2405,83.35433
-29.341211,1983.6859,123.046875
-54.586678,2498.3113,92.28516
-41.113922,2500.3047,80.74951
-55.86558,2891.1895,103.359375
-58.529408,2538.8687,151.99908
-50.95813,3119.8772,80.74951
-49.01822,2457.8894,123.046875
-45.17778,2405.7385,83.35433
-49.19449,2707.5847,103.359375
-64.696,2657.1545,52.734375
-64.07713,2796.239,107.666016
-59.61551,2608.5498,172.26562
-56.83537,2470.9275,151.99908
-54.792828,2641.13,112.347145
-65.901184,2964.4346,117.453835
-65.21478,2966.3535,215.33203
-56.130493,3328.068,123.046875
-46.228043,2835.4502,135.99918
-44.276638,2681.4785,107.666016
-52.612427,2945.2908,89.10291
-30.8867,2243.7688,89.10291
-44.05455,2418.895,143.55469
-83.418076,4471.0166,112.347145
-78.58009,4359.406,83.35433
-48.968117,3120.3308,123.046875
-38.505455,2361.793,129.19922
-43.510506,2704.6897,117.453835
-44.82437,2562.639,95.703125
-67.603,3104.3813,103.359375
-63.41651,2859.454,89.10291
-39.601814,2535.4006,184.57031
-55.403496,2721.146,198.76804
-67.23222,3098.971,215.33203
-62.219147,2506.6135,129.19922
-63.000904,2896.8225,95.703125
-69.39274,2960.392,198.76804
-65.24855,2995.7397,143.55469
-53.026318,3027.6167,143.55469
-54.038464,2749.9897,99.38402
-60.742664,2798.83,112.347145
-52.729607,2891.3704,184.57031
-59.498108,2867.1396,135.99918
-60.593147,3160.1316,143.55469
-58.76402,3006.3772,172.26562
-46.9397,3276.8267,129.19922
-67.325096,3996.4565,107.666016
-48.771416,2982.3884,107.666016
-78.07009,4201.379,143.55469
-88.459145,4746.6147,184.57031
-69.41964,3006.2932,143.55469
-69.02501,2937.021,215.33203
-76.69902,2970.3887,172.26562
-73.46081,3292.163,151.99908
-69.0414,2989.9236,95.703125
-65.448204,3248.1853,86.13281
-69.13411,2972.0767,67.99959
-72.55057,4177.832,143.55469
-71.00273,4191.3477,99.38402
-74.658554,4291.4517,143.55469
-62.324177,3472.3735,135.99918
-69.82484,3063.7285,95.703125
-62.129993,3033.3882,161.49902
-68.72642,2937.927,112.347145
-65.31083,3079.8433,129.19922
-72.04079,2881.0024,73.828125
-71.49016,4251.5903,161.49902
-67.66757,3670.4995,135.99918
-76.40775,3872.7222,112.347145
-63.24688,3092.234,135.99918
-68.4199,3043.4646,161.49902
-63.8337,2738.4822,80.74951
-41.59794,2663.802,123.046875
-64.93754,2917.0935,123.046875
-62.64753,2765.6272,80.74951
-63.95468,2998.6746,86.13281
-75.37477,3014.6152,143.55469
-63.519268,2596.5142,89.10291
-53.13433,2954.969,151.99908
-72.76236,4070.321,103.359375
-80.87786,2960.0579,129.19922
-64.59661,3936.3333,83.35433
-63.28254,3806.276,58.726917
-65.53552,3702.9954,58.726917
-65.53552,3702.9954,58.726917
-64.96065,3881.6675,151.99908
-64.96065,3881.6675,151.99908
-72.64518,4142.972,123.046875
-72.64518,4142.972,123.046875
-72.02428,4109.784,161.49902
-69.79173,4137.755,123.046875
-69.79173,4137.755,123.046875
-73.891304,4242.2783,92.28516
-77.40102,4402.093,99.38402
-77.40102,4402.093,99.38402
-77.07642,4465.266,92.28516
-79.71867,4475.762,123.046875
-79.71867,4475.762,123.046875
-79.589134,4551.3164,103.359375
-80.10973,4386.08,75.99954
-84.87381,4818.5713,135.99918
-84.87381,4818.5713,135.99918
-85.548775,4731.5884,129.19922
-60.203114,4007.9983,161.49902
-60.203114,4007.9983,161.49902
-66.63659,3694.9756,135.99918
-66.63659,3694.9756,135.99918
-51.805855,3405.5144,184.57031
-51.805855,3405.5144,184.57031
-51.1626,3330.358,161.49902
-51.1626,3330.358,161.49902
-54.48924,3336.5022,103.359375
-54.48924,3336.5022,103.359375
-55.137535,3129.9502,99.38402
-55.137535,3129.9502,99.38402
-58.04414,3743.114,75.99954
-58.04414,3743.114,75.99954
-77.2888,4405.831,83.35433
-77.2888,4405.831,83.35433
-71.86897,4101.5537,129.19922
-71.86897,4101.5537,129.19922
-70.99233,4276.06,184.57031
-70.99233,4276.06,184.57031
-73.924355,4257.133,151.99908
-73.924355,4257.133,151.99908
-77.80731,4489.3755,107.666016
-77.80731,4489.3755,107.666016
-70.99528,3130.599,103.359375
-70.99528,3130.599,103.359375
-54.637012,3464.5042,161.49902
-54.637012,3464.5042,161.49902
-80.07857,4631.335,80.74951
-80.07857,4631.335,80.74951
-71.58186,4232.266,135.99918
-71.58186,4232.266,135.99918
-81.00746,4504.5474,135.99918
-81.00746,4504.5474,135.99918
-63.89522,3835.3022,151.99908
-63.89522,3835.3022,151.99908
-65.25303,3887.7454,129.19922
-65.25303,3887.7454,129.19922
-59.67671,3725.0781,92.28516
-59.67671,3725.0781,92.28516
-81.97362,4335.626,117.453835
-81.97362,4335.626,117.453835
-58.522144,3479.8684,112.347145
-58.522144,3479.8684,112.347145
-56.98888,2965.5276,135.99918
-51.223988,2806.1682,95.703125
-51.223988,2806.1682,95.703125
-57.685127,2878.559,123.046875
-57.685127,2878.559,123.046875
-51.887226,2913.1128,89.10291
-51.887226,2913.1128,89.10291
-53.181038,3064.7039,92.28516
-53.181038,3064.7039,92.28516
-67.95351,3010.924,143.55469
-67.95351,3010.924,143.55469
-67.524345,2550.7195,92.28516
-72.33599,2599.8337,89.10291
-72.33599,2599.8337,89.10291
-73.14037,2782.4587,143.55469
-73.14037,2782.4587,143.55469
-76.9338,2767.034,135.99918
-68.847824,2652.1838,95.703125
-68.847824,2652.1838,95.703125
-68.072784,2603.8525,80.74951
-67.11655,2650.7678,92.28516
-81.47267,3925.413,78.30256
-81.47267,3925.413,78.30256
-78.22938,3385.753,112.347145
-82.331345,3454.1157,107.666016
-75.08819,3161.056,151.99908
-65.03914,2678.7136,215.33203
-65.03914,2678.7136,215.33203
-79.276726,3822.0713,151.99908
-79.276726,3822.0713,151.99908
-70.477234,3556.1611,117.453835
-70.477234,3556.1611,117.453835
-71.66968,3716.5833,123.046875
-71.66968,3716.5833,123.046875
-75.537125,3967.5872,89.10291
-75.537125,3967.5872,89.10291
-71.17156,3704.512,86.13281
-71.17156,3704.512,86.13281
-73.9041,3121.7278,198.76804
-73.9041,3121.7278,198.76804
-73.43532,3406.8157,71.77734
-73.43532,3406.8157,71.77734
-69.16935,3510.7883,129.19922
-69.16935,3510.7883,129.19922
-74.52364,3727.687,75.99954
-74.52364,3727.687,75.99954
-73.07521,3064.1484,123.046875
-73.07521,3064.1484,123.046875
-77.59003,3812.705,123.046875
-77.59003,3812.705,123.046875
-74.99094,3807.5444,184.57031
-74.99094,3807.5444,184.57031
-75.95686,3529.0645,117.453835
-75.95686,3529.0645,117.453835
-61.177177,3026.3918,143.55469
-61.177177,3026.3918,143.55469
-74.64223,3295.9224,117.453835
-74.51334,3015.8877,78.30256
-74.51334,3015.8877,78.30256
-68.08443,3543.6504,151.99908
-68.08443,3543.6504,151.99908
-56.26467,3161.6992,107.666016
-56.26467,3161.6992,107.666016
-68.77282,3347.7908,83.35433
-68.77282,3347.7908,83.35433
