MFCC Mean,Spectral Centroid,Tempo (BPM)
-51.513317,2668.301,172.26562
-63.100067,3642.0525,184.57031
-21.94639,2438.5344,103.359375
-55.757183,2905.954,198.76804
-30.18493,2317.9263,117.453835
-32.499805,2404.2612,135.99918
-59.90558,3228.007,107.666016
-40.195107,2206.8718,71.77734
-68.421486,3023.3977,172.26562
-73.27959,4042.748,83.35433
-54.751026,2981.9062,112.347145
-29.437225,1985.6251,172.26562
-46.573467,2528.8318,135.99918
-31.80314,2005.9431,107.666016
-50.94045,2305.853,86.13281
-38.515472,2098.2405,83.35433
-29.341211,1983.6859,123.046875
-54.586678,2498.3113,92.28516
-41.113922,2500.3047,80.74951
-55.86558,2891.1895,103.359375
-58.529408,2538.8687,151.99908
-50.95813,3119.8772,80.74951
-49.01822,2457.8894,123.046875
-45.17778,2405.7385,83.35433
-49.19449,2707.5847,103.359375
-64.696,2657.1545,52.734375
-64.07713,2796.239,107.666016
-59.61551,2608.5498,172.26562
-56.83537,2470.9275,151.99908
-54.792828,2641.13,112.347145
-65.901184,2964.4346,117.453835
-65.21478,2966.3535,215.33203
-56.130493,3328.068,123.046875
-46.228043,2835.4502,135.99918
-44.276638,2681.4785,107.666016
-52.612427,2945.2908,89.10291
-30.8867,2243.7688,89.10291
-44.05455,2418.895,143.55469
-83.418076,4471.0166,112.347145
-78.58009,4359.406,83.35433
-48.968117,3120.3308,123.046875
-38.505455,2361.793,129.19922
-43.510506,2704.6897,117.453835
-44.82437,2562.639,95.703125
-67.603,3104.3813,103.359375
-63.41651,2859.454,89.10291
-39.601814,2535.4006,184.57031
-55.403496,2721.146,198.76804
-67.23222,3098.971,215.33203
-62.219147,2506.6135,129.19922
