MFCC Mean,Spectral Centroid,Tempo (BPM)
-81.51292,4446.7485,198.76804
-76.04402,4115.1533,89.10291
-72.82808,4052.923,112.347145
-77.9667,4302.3813,99.38402
-81.189255,4454.3726,184.57031
-83.973114,4646.3457,161.49902
-78.70357,4465.9487,135.99918
-90.77098,4941.4966,117.453835
-84.89146,4515.0244,215.33203
-62.26948,3547.0188,107.666016
-81.86835,4460.7637,151.99908
-65.07325,3721.773,215.33203
-88.45764,4901.6953,103.359375
-87.49965,4619.5005,129.19922
-79.01972,4100.944,135.99918
-84.68488,4608.068,143.55469
-80.55293,4336.719,92.28516
-79.868,4355.24,103.359375
-76.50526,3995.3208,95.703125
-80.7808,4582.2563,117.453835
-72.96459,3078.0806,161.49902
-71.90916,3169.9753,184.57031
-71.56318,2854.336,112.347145
-70.21803,3176.669,99.38402
-50.990253,2716.3162,89.10291
-54.673847,2812.5479,73.828125
-64.40537,3281.1729,99.38402
-58.71688,3024.3315,234.90767
-61.284557,3135.4543,89.10291
-65.65962,3151.0774,198.76804
-66.08933,3122.2388,135.99918
-43.817345,2589.5317,92.28516
-56.821423,2660.9817,92.28516
-58.864113,2573.871,78.30256
-64.34729,2602.4614,135.99918
-65.649765,3361.605,234.90767
-58.699562,3151.6743,58.726917
-33.37258,2357.0864,103.359375
-30.699713,2540.1594,184.57031
-28.900196,2273.9001,135.99918
-27.64971,2521.5046,129.19922
-65.59046,3629.8203,95.703125
-79.3914,4173.9487,198.76804
-80.78412,4474.6846,99.38402
-69.53166,3167.9053,129.19922
-79.2177,4285.345,107.666016
-78.2295,4418.93,129.19922
-78.10014,4819.1924,172.26562
-70.17796,3578.7283,123.046875
-79.76262,4065.3354,129.19922
-65.35547,3474.124,184.57031
-55.556175,3368.8367,172.26562
-84.964966,5042.466,172.26562
-76.1752,4582.7666,92.28516
-10.41142,2574.7043,123.046875
-9.312993,2513.116,123.046875
